Name	Values	Coverage	Question	Example	Type	Source	SortIndex	IsComputed	IsRequired	IsConceptDelimiter	Cue
version	416	100%	What is the semantic version number?	108.0.0	string		1		true	true	📦
releaseDate	416	100%	Base parser all measures extend.	2026-09-17	string		1.1	true	true		
bugFixes	416	100%	How many bug fixes in this release?	0	number		1.2	true			
newFeatures	416	100%	How many new features in this release?	0	number		1.2	true			
breakingChanges	416	100%	How many breaking changes in this release?	3	number		1.2	true			
