version,releaseDate,bugFixes,newFeatures,breakingChanges
38.0.1,2019-08-17,2,0,0
38.0.0,2019-08-17,2,2,1
37.1.0,2019-08-10,0,1,1
37.0.0,2019-08-08,1,0,1
36.2.0,2019-08-01,0,0,1
36.1.0,2019-07-31,0,0,1
36.0.2,2019-07-30,1,0,0
36.0.1,2019-07-30,1,0,0
36.0.0,2019-07-30,1,2,2
35.1.0,2019-07-25,1,1,0
35.0.1,2019-07-25,3,0,0
35.0.0,2019-07-24,1,6,8
34.2.0,2019-07-21,1,1,0
34.1.0,2019-07-19,0,1,0
34.0.0,2019-07-16,3,2,4
33.0.2,2019-07-15,2,1,0
33.0.1,2019-07-15,1,0,0
33.0.0,2019-07-10,3,0,4
32.0.0,2019-07-07,1,2,4
31.0.0,2019-07-05,1,4,2
30.0.0,2019-07-03,0,1,4
29.0.0,2019-07-02,0,2,1
28.0.0,2019-07-02,0,2,8
27.2.0,2019-06-26,1,3,1
27.1.0,2019-06-25,0,1,0
27.0.0,2019-06-23,2,4,4
26.5.0,2019-06-23,1,1,0
26.4.0,2019-06-23,0,0,1
26.3.0,2019-06-23,1,0,1
26.2.0,2019-06-22,1,2,1
26.1.1,2019-06-21,1,0,0
26.1.0,2019-06-21,0,1,0
26.0.2,2019-06-21,2,1,0
26.0.1,2019-06-21,1,0,0
26.0.0,2019-06-21,0,9,28
25.2.0,2019-05-30,2,0,0
25.1.0,2019-05-29,0,5,0
25.0.0,2019-05-28,1,2,1
24.2.0,2019-05-27,0,2,0
24.1.0,2019-05-27,0,3,0
24.0.0,2019-05-21,1,1,0
23.2.1,2019-05-21,1,0,0
23.2.0,2019-05-21,0,2,2
23.1.0,2019-05-21,0,2,2
23.0.1,2019-05-20,2,0,0
23.0.0,2019-05-20,0,0,9
22.3.0,2019-05-16,0,0,1
22.2.0,2019-05-16,0,0,3
22.1.1,2019-05-16,1,0,0
22.1.0,2019-05-16,0,1,0
22.0.0,2019-05-15,1,6,8
21.0.0,2019-05-04,3,5,7
20.0.0,2019-04-30,0,5,5
19.5.1,2019-04-26,3,0,0
19.5.0,2019-04-25,0,2,0
19.4.0,2019-04-24,0,1,0
19.3.2,2019-04-23,1,0,0
19.3.1,2019-04-22,1,0,0
19.3.0,2019-04-22,1,4,1
19.2.1,2019-04-20,1,0,0
19.2.0,2019-04-20,2,2,1
19.1.0,2019-04-20,0,2,0
19.0.0,2019-04-19,0,3,1
18.2.0,2019-04-11,0,1,0
18.1.3,2019-03-26,0,1,0
18.1.2,2019-03-25,0,1,0
18.1.1,2019-03-25,1,0,0
18.1.0,2019-03-25,0,1,0
18.0.0,2019-03-24,0,6,4
17.1.3,2019-03-14,1,0,0
17.1.2,2019-03-14,1,0,0
17.1.1,2019-03-13,1,0,0
17.1.0,2019-03-13,1,1,2
17.0.0,2019-03-11,1,3,5
16.0.1,2019-03-03,1,0,0
16.0.0,2019-03-03,0,0,0
15.3.0,2019-03-01,1,20,2
15.2.0,2019-02-10,0,4,0
15.1.0,2019-02-10,0,5,0
15.0.2,2019-02-07,2,0,0
15.0.1,2019-01-02,1,0,0
15.0.0,2018-12-01,0,3,4
14.6.0,2018-09-23,1,1,0
14.5.1,2017-11-24,0,0,0
14.5.0,2017-11-23,0,2,0
14.4.0,2017-11-19,0,1,0
14.3.3,2017-11-17,0,1,0
14.3.2,2017-11-16,0,1,0
14.3.1,2017-11-14,0,1,0
14.3.0,2017-11-13,0,2,0
14.2.0,2017-11-12,0,1,0
14.1.0,2017-11-11,0,2,0
14.0.1,2017-11-11,0,0,0
14.0.0,2017-11-10,0,0,1
13.0.0,2017-11-09,0,0,2
12.2.1,2017-11-09,1,0,0
12.2.0,2017-11-09,1,1,1
12.1.0,2017-11-09,0,1,2
12.0.0,2017-11-09,0,1,3
11.5.0,2017-11-08,0,2,13
11.4.1,2017-11-08,0,1,0
11.4.0,2017-11-08,0,0,2
11.3.0,2017-11-07,0,1,0
11.2.3,2017-11-06,0,0,0
11.2.2,2017-11-06,0,0,0
11.2.1,2017-11-06,1,0,0
11.2.0,2017-11-06,0,0,2
11.1.0,2017-11-06,1,0,0
11.0.0,2017-11-06,0,0,1
10.1.2,2017-11-06,0,0,0
10.1.1,2017-11-05,1,1,0
10.1.0,2017-11-04,2,0,0
10.0.1,2017-11-03,1,0,0
10.0.0,2017-11-03,0,1,3
9.2.0,2017-11-03,0,0,2
9.1.0,2017-11-02,1,1,1
9.0.0,2017-11-02,0,3,3
8.6.0,2017-10-30,0,0,1
8.5.0,2017-10-30,0,2,0
8.4.1,2017-10-28,1,0,0
8.4.0,2017-10-28,0,1,0
8.3.1,2017-10-28,1,0,0
8.3.0,2017-10-27,0,2,0
8.2.3,2017-10-27,0,1,0
8.2.2,2017-10-26,0,0,0
8.2.1,2017-10-26,0,1,0
8.2.0,2017-10-26,0,2,0
8.1.0,2017-10-25,0,0,1
8.0.1,2017-10-15,1,0,0
8.0.0,2017-10-15,0,2,1
